file,line,component,kind,value,class,offbrand,form,marks
"src/App.jsx","704","App","hex","#2563eb","?","yes","text",": [{ id: 'default', name: 'New Business', color: '#2563eb' }];"
"src/App.jsx","943","App","hex","#dbeafe","?","yes","—","{ bg: '#dbeafe', text: '#1e40af' }, // blue"
"src/App.jsx","943","App","hex","#1e40af","?","yes","—","{ bg: '#dbeafe', text: '#1e40af' }, // blue"
"src/App.jsx","944","App","hex","#e9d5ff","?","","—","{ bg: '#e9d5ff', text: '#7c3aed' }, // purple"
"src/App.jsx","944","App","hex","#7c3aed","?","","—","{ bg: '#e9d5ff', text: '#7c3aed' }, // purple"
"src/App.jsx","945","App","hex","#d1fae5","?","yes","—","{ bg: '#d1fae5', text: '#059669' }, // green"
"src/App.jsx","945","App","hex","#059669","?","yes","—","{ bg: '#d1fae5', text: '#059669' }, // green"
"src/App.jsx","946","App","hex","#fed7aa","?","","—","{ bg: '#fed7aa', text: '#c2410c' }, // orange"
"src/App.jsx","946","App","hex","#c2410c","?","","—","{ bg: '#fed7aa', text: '#c2410c' }, // orange"
"src/App.jsx","947","App","hex","#fecaca","?","yes","—","{ bg: '#fecaca', text: '#dc2626' }, // red"
"src/App.jsx","947","App","hex","#dc2626","?","yes","—","{ bg: '#fecaca', text: '#dc2626' }, // red"
"src/App.jsx","948","App","hex","#fef3c7","?","yes","—","{ bg: '#fef3c7', text: '#d97706' }, // amber"
"src/App.jsx","948","App","hex","#d97706","?","yes","—","{ bg: '#fef3c7', text: '#d97706' }, // amber"
"src/App.jsx","949","App","hex","#cffafe","?","","—","{ bg: '#cffafe', text: '#0e7490' }, // cyan"
"src/App.jsx","949","App","hex","#0e7490","?","","—","{ bg: '#cffafe', text: '#0e7490' }, // cyan"
"src/App.jsx","950","App","hex","#fce7f3","?","","—","{ bg: '#fce7f3', text: '#be185d' }, // pink"
"src/App.jsx","950","App","hex","#be185d","?","","—","{ bg: '#fce7f3', text: '#be185d' }, // pink"
"src/App.jsx","952","App","hex","#d1fae5","?","yes","—","const closedWonColor = { bg: '#d1fae5', text: '#047857' };"
"src/App.jsx","952","App","hex","#047857","?","","—","const closedWonColor = { bg: '#d1fae5', text: '#047857' };"
"src/App.jsx","953","App","hex","#fee2e2","?","","—","const closedLostColor = { bg: '#fee2e2', text: '#b91c1c' };"
"src/App.jsx","953","App","hex","#b91c1c","?","yes","—","const closedLostColor = { bg: '#fee2e2', text: '#b91c1c' };"
"src/App.jsx","1458","App","hex","#94a3b8","brand","yes","text","<div style={{ color: '#94a3b8', fontSize: '0.875rem' }}>Loading…</div>"
"src/App.jsx","1470","App","hex","#2563eb","?","yes","svg","<rect width=""100"" height=""100"" rx=""20"" fill=""#2563eb""/>"
